"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H4","TUR","27","Turkey","AUS","Australia",2025,"Export",6,105.839
"H4","TUR","27","Turkey","AUS","Australia",2025,"Import",5,372393.251
"H4","TUR","27","Turkey","CHN","China",2020,"Export",6,22749.984
"H4","TUR","27","Turkey","CHN","China",2020,"Import",5,25023.977
"H4","TUR","27","Turkey","CHN","China",2021,"Export",6,25618.441
"H4","TUR","27","Turkey","CHN","China",2021,"Import",5,75756.03
"H4","TUR","27","Turkey","CHN","China",2022,"Export",6,126083.067
"H4","TUR","27","Turkey","CHN","China",2022,"Import",5,123937.588
"H4","TUR","27","Turkey","CHN","China",2023,"Export",6,78011.599
"H4","TUR","27","Turkey","CHN","China",2023,"Import",5,21985.123
"H4","TUR","27","Turkey","CHN","China",2024,"Export",6,49240.793
"H4","TUR","27","Turkey","CHN","China",2024,"Import",5,8086.702
"H4","TUR","27","Turkey","CHN","China",2025,"Export",6,39487.643
"H4","TUR","27","Turkey","CHN","China",2025,"Import",5,15474.688
"H4","TUR","27","Turkey","DEU","Germany",2020,"Export",6,12930.827
"H4","TUR","27","Turkey","DEU","Germany",2020,"Import",5,59704.453
"H4","TUR","27","Turkey","DEU","Germany",2021,"Export",6,15811.241
"H4","TUR","27","Turkey","DEU","Germany",2021,"Import",5,73311.751
"H4","TUR","27","Turkey","DEU","Germany",2022,"Export",6,467596.344
"H4","TUR","27","Turkey","DEU","Germany",2022,"Import",5,93617.46
"H4","TUR","27","Turkey","DEU","Germany",2023,"Export",6,534351.391
"H4","TUR","27","Turkey","DEU","Germany",2023,"Import",5,110494.002
"H4","TUR","27","Turkey","DEU","Germany",2024,"Export",6,287735.589
"H4","TUR","27","Turkey","DEU","Germany",2024,"Import",5,115218.913
"H4","TUR","27","Turkey","DEU","Germany",2025,"Export",6,99437.89
"H4","TUR","27","Turkey","DEU","Germany",2025,"Import",5,154837.872
"H4","TUR","27","Turkey","IND","India",2020,"Export",6,23037.971
"H4","TUR","27","Turkey","IND","India",2020,"Import",5,984954.215
"H4","TUR","27","Turkey","IND","India",2021,"Export",6,39371.167
"H4","TUR","27","Turkey","IND","India",2021,"Import",5,1762571.395
"H4","TUR","27","Turkey","IND","India",2022,"Export",6,24763.812
"H4","TUR","27","Turkey","IND","India",2022,"Import",5,3208279.874
"H4","TUR","27","Turkey","IND","India",2023,"Export",6,26908.716
"H4","TUR","27","Turkey","IND","India",2023,"Import",5,902446.432
"H4","TUR","27","Turkey","IND","India",2024,"Export",6,30473.3
"H4","TUR","27","Turkey","IND","India",2024,"Import",5,847320.929
"H4","TUR","27","Turkey","IND","India",2025,"Export",6,22906.185
"H4","TUR","27","Turkey","IND","India",2025,"Import",5,466767.539
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2020,"Export",6,3318.935
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2020,"Import",5,52755.036
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2021,"Export",6,3973.125
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2021,"Import",5,63198.332
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2022,"Export",6,4143.459
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2022,"Import",5,72397.318
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2023,"Export",6,6473.63
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2023,"Import",5,55984.25
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2024,"Export",6,6141.81
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2024,"Import",5,36790.625
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2025,"Export",6,2888.14
"H4","TUR","27","Turkey","IRN","Iran, Islamic Rep.",2025,"Import",5,46164.801
"H4","TUR","27","Turkey","ISR","Israel",2020,"Export",6,28962.681
"H4","TUR","27","Turkey","ISR","Israel",2020,"Import",5,574276.83
"H4","TUR","27","Turkey","ISR","Israel",2021,"Export",6,60631.402
"H4","TUR","27","Turkey","ISR","Israel",2021,"Import",5,1147660.676
"H4","TUR","27","Turkey","ISR","Israel",2022,"Export",6,49124.128
"H4","TUR","27","Turkey","ISR","Israel",2022,"Import",5,1370478.12
"H4","TUR","27","Turkey","ISR","Israel",2023,"Export",6,43118.815
"H4","TUR","27","Turkey","ISR","Israel",2023,"Import",5,629028.452
"H4","TUR","27","Turkey","ISR","Israel",2024,"Export",6,10851.022
"H4","TUR","27","Turkey","ISR","Israel",2024,"Import",5,268006.671
"H4","TUR","27","Turkey","JPN","Japan",2020,"Export",6,710.414
"H4","TUR","27","Turkey","JPN","Japan",2020,"Import",5,3066.173
"H4","TUR","27","Turkey","JPN","Japan",2021,"Export",6,952.862
"H4","TUR","27","Turkey","JPN","Japan",2021,"Import",5,3625.223
"H4","TUR","27","Turkey","JPN","Japan",2022,"Export",6,314.824
"H4","TUR","27","Turkey","JPN","Japan",2022,"Import",5,3988.244
"H4","TUR","27","Turkey","JPN","Japan",2023,"Export",6,701.917
"H4","TUR","27","Turkey","JPN","Japan",2023,"Import",5,19037.753
"H4","TUR","27","Turkey","JPN","Japan",2024,"Export",6,2267.826
"H4","TUR","27","Turkey","JPN","Japan",2024,"Import",5,23632.921
"H4","TUR","27","Turkey","JPN","Japan",2025,"Export",6,458.555
"H4","TUR","27","Turkey","JPN","Japan",2025,"Import",5,5205.547
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2020,"Export",6,23509.677
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2020,"Import",5,21071.638
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2021,"Export",6,37066.648
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2021,"Import",5,42885.999
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2022,"Export",6,4681.256
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2022,"Import",5,39845.505
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2023,"Export",6,2922.442
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2023,"Import",5,53319.205
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2024,"Export",6,855.27
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2024,"Import",5,21060.59
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2025,"Export",6,1090.527
"H4","TUR","27","Turkey","KOR","Korea, Rep.",2025,"Import",5,15229.021
"H4","TUR","27","Turkey","NLD","Netherlands",2020,"Export",6,473023.623
"H4","TUR","27","Turkey","NLD","Netherlands",2020,"Import",5,133126.066
"H4","TUR","27","Turkey","NLD","Netherlands",2021,"Export",6,948788.981
"H4","TUR","27","Turkey","NLD","Netherlands",2021,"Import",5,146078.962
"H4","TUR","27","Turkey","NLD","Netherlands",2022,"Export",6,1768104.163
"H4","TUR","27","Turkey","NLD","Netherlands",2022,"Import",5,180839.068
"H4","TUR","27","Turkey","NLD","Netherlands",2023,"Export",6,1516068.066
"H4","TUR","27","Turkey","NLD","Netherlands",2023,"Import",5,208781.217
"H4","TUR","27","Turkey","NLD","Netherlands",2024,"Export",6,1537988.482
"H4","TUR","27","Turkey","NLD","Netherlands",2024,"Import",5,202349.036
"H4","TUR","27","Turkey","NLD","Netherlands",2025,"Export",6,1089909.046
"H4","TUR","27","Turkey","NLD","Netherlands",2025,"Import",5,213207.808
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2020,"Export",6,58.053
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2020,"Import",5,2570.116
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2021,"Export",6,168.415
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2021,"Import",5,2655.863
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2022,"Export",6,513.132
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2022,"Import",5,115131.896
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2023,"Export",6,1573.706
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2023,"Import",5,4712.793
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2024,"Export",6,741.744
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2024,"Import",5,6413.208
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2025,"Export",6,911
"H4","TUR","27","Turkey","OAS","Other Asia, nes",2025,"Import",5,5500.769
"H4","TUR","27","Turkey","QAT","Qatar",2020,"Export",6,7566.761
"H4","TUR","27","Turkey","QAT","Qatar",2020,"Import",5,14981.724
"H4","TUR","27","Turkey","QAT","Qatar",2021,"Export",6,5651.275
"H4","TUR","27","Turkey","QAT","Qatar",2021,"Import",5,28867.14
"H4","TUR","27","Turkey","QAT","Qatar",2022,"Export",6,6552.742
"H4","TUR","27","Turkey","QAT","Qatar",2022,"Import",5,49053.049
"H4","TUR","27","Turkey","QAT","Qatar",2023,"Export",6,5350.172
"H4","TUR","27","Turkey","QAT","Qatar",2023,"Import",5,107391.61
"H4","TUR","27","Turkey","QAT","Qatar",2024,"Export",6,1450.025
"H4","TUR","27","Turkey","QAT","Qatar",2024,"Import",5,48112.826
"H4","TUR","27","Turkey","QAT","Qatar",2025,"Export",6,5732.28
"H4","TUR","27","Turkey","QAT","Qatar",2025,"Import",5,51040.393
"H4","TUR","27","Turkey","RUS","Russian Federation",2020,"Export",6,115061.83
"H4","TUR","27","Turkey","RUS","Russian Federation",2020,"Import",5,8308482.185
"H4","TUR","27","Turkey","RUS","Russian Federation",2021,"Export",6,121454.251
"H4","TUR","27","Turkey","RUS","Russian Federation",2021,"Import",5,14292830.528
"H4","TUR","27","Turkey","RUS","Russian Federation",2022,"Export",6,289684.913
"H4","TUR","27","Turkey","RUS","Russian Federation",2022,"Import",5,41801759.026
"H4","TUR","27","Turkey","RUS","Russian Federation",2023,"Export",6,227700.973
"H4","TUR","27","Turkey","RUS","Russian Federation",2023,"Import",5,30095419.583
"H4","TUR","27","Turkey","RUS","Russian Federation",2024,"Export",6,114705.354
"H4","TUR","27","Turkey","RUS","Russian Federation",2024,"Import",5,32231487.857
"H4","TUR","27","Turkey","RUS","Russian Federation",2025,"Export",6,80314.972
"H4","TUR","27","Turkey","RUS","Russian Federation",2025,"Import",5,29795598.217
"H4","TUR","27","Turkey","SAU","Saudi Arabia",2020,"Export",6,28343.873
"H4","TUR","27","Turkey","SAU","Saudi Arabia",2020,"Import",5,18340.893
"H4","TUR","27","Turkey","SAU","Saudi Arabia",2021,"Export",6,80656.672
"H4","TUR","27","Turkey","SAU","Saudi Arabia",2021,"Import",5,30562.592
"H4","TUR","27","Turkey","SAU","Saudi Arabia",2022,"Export",6,85173.811
